"decimalLongitude","decimalLatitude","species"
5352433.35646581,4526870.82920163,"Campanula latifolia"
4391560.21243351,4074485.27317658,"Campanula latifolia"
4600029.01023748,4017957.59028744,"Campanula latifolia"
4682009.24080919,3993824.49714651,"Campanula latifolia"
4540426.64624283,3637550.0992676,"Campanula latifolia"
4345270.44061211,4088533.61164331,"Campanula latifolia"
4296570.28804649,4013768.25324257,"Campanula latifolia"
4520578.64528979,4914952.92105945,"Campanula latifolia"
4198223.81552608,4219636.0425658,"Campanula latifolia"
4194031.95818423,4220001.72644794,"Campanula latifolia"
4361379.91321428,4190108.40215399,"Campanula latifolia"
4367882.1712259,4100374.07899965,"Campanula latifolia"
4302291.24754029,4011498.31047377,"Campanula latifolia"
4791854.4389779,4054808.06928168,"Campanula latifolia"
4546889.49986122,3923385.26253234,"Campanula latifolia"
4543364.49342898,3937563.20048688,"Campanula latifolia"
4541369.23524635,3937397.96805886,"Campanula latifolia"
4617341.78040067,4017716.97859391,"Campanula latifolia"
4347787.62797962,4093900.81903117,"Campanula latifolia"
4335195.96396063,4437019.09635317,"Campanula latifolia"
4250664.28790727,4406053.3153368,"Campanula latifolia"
4320583.70969893,3037675.82804485,"Campanula latifolia"
4725321.20017678,3082086.06804807,"Campanula latifolia"
4533503.93453181,3922419.80634,"Campanula latifolia"
4510615.31377853,3737706.0863702,"Campanula latifolia"
4536475.47332814,3931834.80409632,"Campanula latifolia"
4558022.70228675,3677067.16625032,"Campanula latifolia"
4544491.89410802,3927648.15203196,"Campanula latifolia"
4551072.63077463,3673984.48628522,"Campanula latifolia"
4535426.01654003,3925335.71475261,"Campanula latifolia"
4536129.13954005,3929577.25653051,"Campanula latifolia"
4644829.47540718,3936505.43835293,"Campanula latifolia"
4361954.47751734,4476197.96708172,"Campanula latifolia"
4236254.25442636,4052498.90380989,"Campanula latifolia"
4332433.16117651,3799170.07859538,"Campanula latifolia"
3594365.26049369,3486687.52888433,"Campanula latifolia"
3534041.69628898,3893858.45550747,"Campanula latifolia"
3507941.47298767,3269282.45031191,"Campanula latifolia"
3473991.56440751,3627828.57897154,"Campanula latifolia"
3504540.66019649,3529349.61826834,"Campanula latifolia"
3585967.79752392,3648014.53109089,"Campanula latifolia"
3588893.95505288,3528781.49995852,"Campanula latifolia"
3476544.64106683,3753054.75576423,"Campanula latifolia"
3469427.90354511,3446188.67856545,"Campanula latifolia"
3472806.50755428,3241357.18559304,"Campanula latifolia"
3546999.01972651,3530918.7820084,"Campanula latifolia"
3531462.27378636,3400413.31603222,"Campanula latifolia"
3502980.7077902,3605232.7677618,"Campanula latifolia"
3469740.02013465,3447135.49500048,"Campanula latifolia"
3525003.88852969,3556122.23978301,"Campanula latifolia"
3485683.21220955,3505461.4252576,"Campanula latifolia"
3496990.93340061,3543029.80239239,"Campanula latifolia"
3624035.58944714,3518156.95878903,"Campanula latifolia"
3495028.70890768,3546979.25999488,"Campanula latifolia"
3497884.69026672,3576356.34939837,"Campanula latifolia"
3548248.42632997,3401388.62617884,"Campanula latifolia"
4393204.73260335,2717961.10107823,"Campanula latifolia"
3630898.89455554,3157250.66991133,"Campanula latifolia"
3497261.48917037,3722326.58927357,"Campanula latifolia"
4556874.87842057,2725879.76832725,"Campanula latifolia"
3266532.43502257,3640783.96222525,"Campanula latifolia"
3540863.56114149,3530628.82860257,"Campanula latifolia"
4414406.6599715,3096760.67797924,"Campanula latifolia"
3529346.99137097,3844204.2756115,"Campanula latifolia"
3698620.79110842,3341379.4410043,"Campanula latifolia"
4239294.38129055,4087804.84762563,"Campanula latifolia"
3594617.55329083,3479045.47334741,"Campanula latifolia"
3592210.88839767,3536352.44732382,"Campanula latifolia"
3476382.17162841,3461817.91222473,"Campanula latifolia"
3536440.15367415,3533027.97937496,"Campanula latifolia"
3572526.16579903,3505220.49859482,"Campanula latifolia"
3494532.76099261,3534950.54404275,"Campanula latifolia"
3531828.81631326,3386171.33885386,"Campanula latifolia"
3510966.48217045,3296883.00303429,"Campanula latifolia"
3459495.56319166,3699508.87642831,"Campanula latifolia"
3502153.49226628,3547260.25756997,"Campanula latifolia"
3541484.76211199,3411751.78924883,"Campanula latifolia"
3547812.48941768,3488008.57964084,"Campanula latifolia"
3502924.59304167,3715528.43022516,"Campanula latifolia"
4572336.96171418,3629704.38550391,"Campanula latifolia"
4592327.94086381,4072994.04247789,"Campanula latifolia"
4746170.68406346,4451157.867962,"Campanula latifolia"
4539574.26385037,3603475.92377174,"Campanula latifolia"
4593174.81474723,4560885.32911391,"Campanula latifolia"
4590185.75868579,4008112.41888549,"Campanula latifolia"
4552184.11188709,4459040.00773198,"Campanula latifolia"
4366576.56800917,4489564.42630333,"Campanula latifolia"
4566477.66492738,4908638.25875894,"Campanula latifolia"
4345517.4347166,4075288.06738688,"Campanula latifolia"
4281652.32798655,4207003.50639701,"Campanula latifolia"
4341640.53891111,4474601.36088354,"Campanula latifolia"
4383851.41407576,4515774.06585193,"Campanula latifolia"
4341779.33164759,4096073.55078048,"Campanula latifolia"
4306480.02275915,4010047.75781646,"Campanula latifolia"
4342467.99771038,4480841.80280126,"Campanula latifolia"
4393335.40285089,4055806.04864155,"Campanula latifolia"
4393352.8495148,4060276.74069915,"Campanula latifolia"
3973508.31680331,2976207.09641765,"Campanula latifolia"
3561041.73988929,3539208.41016609,"Campanula latifolia"
3561544.9495676,3521387.76220174,"Campanula latifolia"
3556277.68986458,3503778.12900317,"Campanula latifolia"
4580247.98774714,3643653.15441662,"Campanula latifolia"
4697430.39076585,4068026.61374268,"Campanula latifolia"
4445863.76286483,3856822.15110005,"Campanula latifolia"
4686740.43451908,3954301.53384197,"Campanula latifolia"
4520965.90236893,4605400.7470892,"Campanula latifolia"
4576587.44159102,3858598.33105389,"Campanula latifolia"
4751035.41272174,4004761.81611178,"Campanula latifolia"
4708181.728693,4393609.21365641,"Campanula latifolia"
4624642.57337377,4158537.46054141,"Campanula latifolia"
4543264.1293213,4393416.31731406,"Campanula latifolia"
4648564.05751297,4149670.81424659,"Campanula latifolia"
4554549.11830217,3634566.26989404,"Campanula latifolia"
4697052.87373687,4055977.77994458,"Campanula latifolia"
4806741.81371813,4121557.63050067,"Campanula latifolia"
4564622.17567811,4481410.08646603,"Campanula latifolia"
4766015.16469129,4175579.061809,"Campanula latifolia"
